user_count,education,education_id,ed_list
36827,Bachelor or Higher,0,[]
36828,Some College or Associate,1,[]
36829,High School,2,[]
36830,Bachelor or Higher,0,[]
36831,High School,2,[]
36832,Bachelor or Higher,0,[]
36833,Bachelor or Higher,0,[]
36834,Bachelor or Higher,0,[]
36835,Bachelor or Higher,0,[]
36836,Bachelor or Higher,0,[]
36837,Bachelor or Higher,0,[]
36838,Some College or Associate,1,[]
36839,Bachelor or Higher,0,[]
36840,Some College or Associate,1,[]
36841,Bachelor or Higher,0,[]
36842,Bachelor or Higher,0,[]
36843,Bachelor or Higher,0,[]
36844,Bachelor or Higher,0,[]
36845,Bachelor or Higher,0,[]
36846,High School,2,[]
36847,Bachelor or Higher,0,[]
36848,Bachelor or Higher,0,[]
36849,Bachelor or Higher,0,[]
36850,Bachelor or Higher,0,[]
36851,Some College or Associate,1,[]
36852,Bachelor or Higher,0,[]
36853,Bachelor or Higher,0,[]
36854,Bachelor or Higher,0,[]
36855,High School,2,[]
36856,Bachelor or Higher,0,[]
36857,Other,4,"[['', 'Los Angeles Recording School', '']]"
36858,Bachelor or Higher,0,[]
36859,Some College or Associate,1,[]
36860,Some College or Associate,1,[]
36861,Bachelor or Higher,0,[]
36862,Bachelor or Higher,0,[]
36863,Bachelor or Higher,0,[]
36864,Less Than High School,3,[]
36865,Bachelor or Higher,0,[]
36866,Some College or Associate,1,[]
36867,Some College or Associate,1,[]
36868,Bachelor or Higher,0,[]
36869,Some College or Associate,1,[]
36870,Bachelor or Higher,0,[]
36871,Bachelor or Higher,0,[]
36872,Some College or Associate,1,[]
36873,Bachelor or Higher,0,[]
36874,error,error,error
36875,Bachelor or Higher,0,[]
36876,Some College or Associate,1,[]
36877,Bachelor or Higher,0,[]
36878,Bachelor or Higher,0,[]
36879,Some College or Associate,1,[]
36880,Bachelor or Higher,0,[]
36881,Bachelor or Higher,0,[]
36882,Some College or Associate,1,[]
36883,Some College or Associate,1,[]
36884,Bachelor or Higher,0,[]
36885,Bachelor or Higher,0,[]
36886,Bachelor or Higher,0,[]
36887,Less Than High School,3,[]
36888,Bachelor or Higher,0,[]
36889,Some College or Associate,1,[]
36890,Bachelor or Higher,0,[]
36891,Bachelor or Higher,0,[]
36892,Some College or Associate,1,[]
36893,Bachelor or Higher,0,[]
36894,High School,2,[]
36895,Some College or Associate,1,[]
36896,Bachelor or Higher,0,[]
36897,Bachelor or Higher,0,[]
36898,Bachelor or Higher,0,[]
36899,Bachelor or Higher,0,[]
36900,Bachelor or Higher,0,[]
36901,Bachelor or Higher,0,[]
36902,Bachelor or Higher,0,[]
36903,Bachelor or Higher,0,[]
36904,Bachelor or Higher,0,[]
36905,Bachelor or Higher,0,[]
36906,Bachelor or Higher,0,[]
36907,Other,4,"[['', 'Minot High', '']]"
36908,Bachelor or Higher,0,[]
36909,Bachelor or Higher,0,[]
36910,Bachelor or Higher,0,[]
36911,High School,2,[]
36912,Bachelor or Higher,0,[]
36913,Bachelor or Higher,0,[]
36914,Some College or Associate,1,[]
