user_count,gender,age,age_range_id
44142,female,31.0,2
44143,female,36.0,3
44144,male,48.0,4
44145,male,43.0,3
44146,male,45.0,4
44147,female,33.0,2
44148,error,error,error
44149,male,42.0,3
44150,female,21.0,1
44151,male,66.0,6
44152,female,21.0,1
44153,error,error,error
44154,male,42.0,3
44155,female,37.0,3
44156,female,26.0,2
44157,male,32.0,2
44158,error,error,error
44159,female,32.0,2
44160,female,26.0,2
44161,female,23.0,1
44162,female,31.0,2
44163,male,35.0,3
44164,male,46.0,4
44165,male,43.0,3
44166,male,32.0,2
44167,male,34.0,2
44168,male,41.0,3
44169,male,25.0,2
44170,female,35.0,3
44171,male,35.0,3
44172,male,35.0,3
44173,male,30.0,2
44174,female,37.0,3
44175,female,45.0,4
44176,female,31.0,2
44177,female,36.0,3
44178,female,22.0,1
44179,female,32.0,2
44180,male,36.0,3
44181,error,error,error
44182,female,28.0,2
44183,male,37.0,3
44184,male,38.0,3
44185,male,46.0,4
44186,female,52.0,4
44187,female,29.0,2
44188,male,30.0,2
44189,male,46.0,4
44190,male,31.0,2
44191,male,43.0,3
44192,male,33.0,2
44193,female,37.0,3
44194,male,22.0,1
44195,male,40.0,3
44196,female,30.0,2
44197,female,29.0,2
44198,male,28.0,2
44199,male,53.0,4
44200,male,33.0,2
44201,female,45.0,4
44202,male,36.0,3
44203,female,32.0,2
44204,male,47.0,4
44205,male,28.0,2
44206,error,error,error
44207,error,error,error
44208,female,28.0,2
44209,male,56.0,5
44210,male,30.0,2
44211,female,38.0,3
44212,male,25.0,2
44213,female,32.0,2
44214,female,31.0,2
