user_count,skilltest_tenure
736,"[572, 19, 1]"
737,"[604, 20, 1]"
738,"[328, 10, 0]"
739,"[873, 29, 2]"
740,"[418, 13, 1]"
741,"[204, 6, 0]"
742,"[534, 17, 1]"
743,None
744,"[116, 3, 0]"
745,None
746,"[859, 28, 2]"
747,"[645, 21, 1]"
748,None
749,"[853, 28, 2]"
750,"[877, 29, 2]"
751,"[906, 30, 2]"
752,"[887, 29, 2]"
753,"[911, 30, 2]"
754,"[2286, 76, 6]"
755,"[881, 29, 2]"
756,None
757,None
758,None
759,"[885, 29, 2]"
760,"[859, 28, 2]"
761,"[283, 9, 0]"
762,None
763,"[674, 22, 1]"
764,None
765,"[590, 19, 1]"
766,"[368, 12, 1]"
767,None
768,"[897, 29, 2]"
769,"[711, 23, 1]"
770,"[1573, 52, 4]"
771,"[1120, 37, 3]"
772,"[1340, 44, 3]"
773,"[404, 13, 1]"
774,None
775,"[669, 22, 1]"
776,"[1500, 50, 4]"
777,"[375, 12, 1]"
778,None
779,"[365, 12, 1]"
780,None
781,None
782,"[684, 22, 1]"
783,"[633, 21, 1]"
784,"[627, 20, 1]"
785,None
786,None
787,None
788,None
789,"[751, 25, 2]"
790,None
791,"[659, 21, 1]"
792,"[606, 20, 1]"
793,None
794,"[376, 12, 1]"
795,"[1510, 50, 4]"
796,"[2273, 75, 6]"
797,"[899, 29, 2]"
798,"[1020, 34, 2]"
799,"[1944, 64, 5]"
800,"[276, 9, 0]"
801,"[117, 3, 0]"
802,"[871, 29, 2]"
803,"[866, 28, 2]"
804,None
805,None
806,"[909, 30, 2]"
807,None
808,None
809,"[793, 26, 2]"
810,None
811,"[770, 25, 2]"
812,"[570, 19, 1]"
813,None
814,"[1215, 40, 3]"
815,"[752, 25, 2]"
816,None
817,"[529, 17, 1]"
818,"[752, 25, 2]"
819,None
820,"[1897, 63, 5]"
821,"[1545, 51, 4]"
822,"[847, 28, 2]"
823,"[843, 28, 2]"
824,None
825,"[823, 27, 2]"
826,None
827,"[173, 5, 0]"
828,"[381, 12, 1]"
829,None
830,"[325, 10, 0]"
831,None
832,None
833,"[501, 16, 1]"
834,"[2076, 69, 5]"
835,"[83, 2, 0]"
836,"[142, 4, 0]"
837,None
838,"[696, 23, 1]"
839,"[168, 5, 0]"
840,None
841,None
842,"[509, 16, 1]"
843,"[520, 17, 1]"
844,None
845,"[514, 17, 1]"
846,"[265, 8, 0]"
847,None
848,"[514, 17, 1]"
849,"[616, 20, 1]"
850,"[538, 17, 1]"
851,"[500, 16, 1]"
852,"[606, 20, 1]"
853,"[592, 19, 1]"
854,"[591, 19, 1]"
855,"[523, 17, 1]"
856,"[564, 18, 1]"
857,"[176, 5, 0]"
858,"[506, 16, 1]"
859,"[480, 16, 1]"
860,"[337, 11, 0]"
861,None
862,"[538, 17, 1]"
863,"[642, 21, 1]"
864,"[552, 18, 1]"
865,None
866,"[572, 19, 1]"
867,"[247, 8, 0]"
868,"[969, 32, 2]"
869,"[966, 32, 2]"
870,"[962, 32, 2]"
871,"[867, 28, 2]"
872,"[865, 28, 2]"
873,"[953, 31, 2]"
874,"[646, 21, 1]"
875,None
876,"[630, 21, 1]"
877,"[642, 21, 1]"
878,None
879,"[2364, 78, 6]"
880,"[2277, 75, 6]"
881,None
882,"[1111, 37, 3]"
883,"[669, 22, 1]"
884,"[1494, 49, 4]"
885,"[953, 31, 2]"
886,"[483, 16, 1]"
887,None
888,"[220, 7, 0]"
889,"[198, 6, 0]"
890,"[468, 15, 1]"
891,"[470, 15, 1]"
892,"[410, 13, 1]"
893,None
894,"[243, 8, 0]"
895,"[236, 7, 0]"
896,None
897,None
898,None
899,"[673, 22, 1]"
900,"[312, 10, 0]"
901,"[777, 25, 2]"
902,None
903,None
904,"[549, 18, 1]"
905,"[207, 6, 0]"
906,"[549, 18, 1]"
907,"[558, 18, 1]"
908,"[1657, 55, 4]"
909,"[563, 18, 1]"
910,"[2392, 79, 6]"
911,"[2010, 67, 5]"
912,"[477, 15, 1]"
913,"[660, 22, 1]"
914,"[1323, 44, 3]"
915,"[1251, 41, 3]"
916,"[874, 29, 2]"
917,"[212, 7, 0]"
918,None
919,"[325, 10, 0]"
920,"[343, 11, 0]"
921,"[629, 20, 1]"
922,"[785, 26, 2]"
923,None
924,None
925,None
926,None
927,"[632, 21, 1]"
928,"[629, 20, 1]"
929,"[576, 19, 1]"
930,None
931,"[909, 30, 2]"
932,"[529, 17, 1]"
933,"[864, 28, 2]"
934,"[354, 11, 0]"
935,"[558, 18, 1]"
936,"[668, 22, 1]"
937,None
938,None
