user_count,education,education_id
855,None,5
856,Bachelor or Higher,0
857,None,5
858,Bachelor or Higher,0
859,Bachelor or Higher,0
860,Bachelor or Higher,0
861,None,5
862,Bachelor or Higher,0
863,Bachelor or Higher,0
864,Bachelor or Higher,0
865,None,5
866,Bachelor or Higher,0
867,Bachelor or Higher,0
868,Bachelor or Higher,0
869,Bachelor or Higher,0
870,None,5
871,None,5
872,Bachelor or Higher,0
873,Bachelor or Higher,0
874,Bachelor or Higher,0
875,Bachelor or Higher,0
876,Bachelor or Higher,0
877,Bachelor or Higher,0
878,Bachelor or Higher,0
879,Bachelor or Higher,0
880,Bachelor or Higher,0
881,Bachelor or Higher,0
882,Bachelor or Higher,0
883,None,5
884,Bachelor or Higher,0
885,Bachelor or Higher,0
886,Bachelor or Higher,0
887,Bachelor or Higher,0
888,None,5
889,None,5
890,Bachelor or Higher,0
891,Bachelor or Higher,0
892,Bachelor or Higher,0
893,None,5
894,None,5
895,Bachelor or Higher,0
896,Bachelor or Higher,0
897,None,5
898,None,5
899,None,5
900,None,5
901,None,5
902,Bachelor or Higher,0
903,Bachelor or Higher,0
904,Bachelor or Higher,0
905,Bachelor or Higher,0
906,Bachelor or Higher,0
907,None,5
908,None,5
909,None,5
910,Bachelor or Higher,0
911,Bachelor or Higher,0
912,Bachelor or Higher,0
913,Bachelor or Higher,0
914,Bachelor or Higher,0
915,None,5
916,Bachelor or Higher,0
917,Bachelor or Higher,0
918,Bachelor or Higher,0
919,Bachelor or Higher,0
920,Bachelor or Higher,0
921,Bachelor or Higher,0
922,Bachelor or Higher,0
923,Bachelor or Higher,0
924,Bachelor or Higher,0
925,Bachelor or Higher,0
926,Bachelor or Higher,0
927,Bachelor or Higher,0
928,Bachelor or Higher,0
929,Bachelor or Higher,0
930,Bachelor or Higher,0
931,Bachelor or Higher,0
932,Bachelor or Higher,0
933,Bachelor or Higher,0
934,Bachelor or Higher,0
935,Bachelor or Higher,0
936,None,5
937,Bachelor or Higher,0
938,Bachelor or Higher,0
939,None,5
940,Bachelor or Higher,0
941,Bachelor or Higher,0
942,Bachelor or Higher,0
943,Bachelor or Higher,0
944,Bachelor or Higher,0
945,None,5
946,Bachelor or Higher,0
947,Bachelor or Higher,0
948,Bachelor or Higher,0
949,Bachelor or Higher,0
950,Bachelor or Higher,0
951,Bachelor or Higher,0
952,None,5
953,Bachelor or Higher,0
954,None,5
955,Bachelor or Higher,0
956,Bachelor or Higher,0
957,Bachelor or Higher,0
958,Bachelor or Higher,0
959,Bachelor or Higher,0
960,Bachelor or Higher,0
961,Bachelor or Higher,0
962,Bachelor or Higher,0
963,Bachelor or Higher,0
964,Bachelor or Higher,0
965,Bachelor or Higher,0
966,Bachelor or Higher,0
967,None,5
968,Bachelor or Higher,0
969,Bachelor or Higher,0
970,Bachelor or Higher,0
971,Bachelor or Higher,0
972,Bachelor or Higher,0
973,Bachelor or Higher,0
974,Bachelor or Higher,0
975,Bachelor or Higher,0
976,None,5
977,Bachelor or Higher,0
978,Bachelor or Higher,0
979,Bachelor or Higher,0
980,Bachelor or Higher,0
981,Bachelor or Higher,0
982,Bachelor or Higher,0
983,Bachelor or Higher,0
984,Bachelor or Higher,0
985,Bachelor or Higher,0
986,Bachelor or Higher,0
987,Bachelor or Higher,0
988,None,5
989,Bachelor or Higher,0
990,Bachelor or Higher,0
991,None,5
992,None,5
993,Bachelor or Higher,0
994,None,5
995,None,5
996,Bachelor or Higher,0
997,Bachelor or Higher,0
998,None,5
999,Bachelor or Higher,0
1000,Bachelor or Higher,0
1001,Bachelor or Higher,0
1002,Bachelor or Higher,0
1003,Bachelor or Higher,0
1004,Bachelor or Higher,0
1005,None,5
1006,Bachelor or Higher,0
1007,None,5
1008,Bachelor or Higher,0
1009,None,5
1010,None,5
1011,None,5
1012,None,5
1013,Bachelor or Higher,0
1014,Bachelor or Higher,0
1015,Bachelor or Higher,0
1016,None,5
1017,Bachelor or Higher,0
1018,None,5
1019,None,5
1020,None,5
1021,Bachelor or Higher,0
1022,Bachelor or Higher,0
1023,Bachelor or Higher,0
1024,Bachelor or Higher,0
1025,Bachelor or Higher,0
1026,Bachelor or Higher,0
1027,None,5
1028,None,5
1029,Bachelor or Higher,0
1030,None,5
1031,Bachelor or Higher,0
1032,None,5
1033,Bachelor or Higher,0
1034,Bachelor or Higher,0
1035,Bachelor or Higher,0
1036,None,5
1037,Bachelor or Higher,0
1038,Bachelor or Higher,0
1039,None,5
1040,None,5
1041,Bachelor or Higher,0
1042,Bachelor or Higher,0
1043,Bachelor or Higher,0
1044,Bachelor or Higher,0
1045,Bachelor or Higher,0
1046,Bachelor or Higher,0
1047,Bachelor or Higher,0
1048,Bachelor or Higher,0
1049,Bachelor or Higher,0
1050,Bachelor or Higher,0
1051,Bachelor or Higher,0
1052,Bachelor or Higher,0
1053,Bachelor or Higher,0
1054,Bachelor or Higher,0
1055,None,5
1056,None,5
1057,None,5
1058,Bachelor or Higher,0
1059,Bachelor or Higher,0
1060,Bachelor or Higher,0
1061,Bachelor or Higher,0
1062,Bachelor or Higher,0
1063,None,5
1064,Bachelor or Higher,0
1065,Bachelor or Higher,0
1066,Bachelor or Higher,0
1067,Bachelor or Higher,0
1068,None,5
1069,None,5
1070,Bachelor or Higher,0
1071,Bachelor or Higher,0
1072,None,5
1073,None,5
1074,Bachelor or Higher,0
1075,None,5
1076,None,5
1077,Bachelor or Higher,0
1078,Bachelor or Higher,0
1079,None,5
1080,Bachelor or Higher,0
1081,Bachelor or Higher,0
1082,None,5
1083,Bachelor or Higher,0
1084,Bachelor or Higher,0
1085,Bachelor or Higher,0
1086,Bachelor or Higher,0
1087,Bachelor or Higher,0
1088,Bachelor or Higher,0
1089,Bachelor or Higher,0
1090,Bachelor or Higher,0
1091,Bachelor or Higher,0
1092,Bachelor or Higher,0
1093,Bachelor or Higher,0
1094,Bachelor or Higher,0
1095,Bachelor or Higher,0
1096,Bachelor or Higher,0
1097,Bachelor or Higher,0
1098,Bachelor or Higher,0
1099,Bachelor or Higher,0
1100,None,5
1101,Bachelor or Higher,0
1102,Bachelor or Higher,0
1103,Bachelor or Higher,0
1104,Bachelor or Higher,0
1105,Bachelor or Higher,0
1106,Bachelor or Higher,0
1107,Bachelor or Higher,0
1108,Bachelor or Higher,0
1109,Bachelor or Higher,0
1110,Bachelor or Higher,0
1111,Bachelor or Higher,0
1112,Bachelor or Higher,0
1113,Bachelor or Higher,0
1114,Bachelor or Higher,0
1115,Bachelor or Higher,0
1116,None,5
1117,Bachelor or Higher,0
1118,None,5
1119,None,5
1120,Bachelor or Higher,0
1121,Bachelor or Higher,0
1122,Bachelor or Higher,0
1123,None,5
1124,None,5
1125,Bachelor or Higher,0
1126,Bachelor or Higher,0
1127,Bachelor or Higher,0
1128,Bachelor or Higher,0
1129,Bachelor or Higher,0
1130,Bachelor or Higher,0
1131,Bachelor or Higher,0
1132,None,5
1133,Bachelor or Higher,0
1134,None,5
1135,Bachelor or Higher,0
1136,Bachelor or Higher,0
1137,Bachelor or Higher,0
1138,None,5
1139,Bachelor or Higher,0
1140,None,5
1141,None,5
1142,Bachelor or Higher,0
1143,None,5
1144,Bachelor or Higher,0
1145,Bachelor or Higher,0
1146,Bachelor or Higher,0
1147,Bachelor or Higher,0
1148,Bachelor or Higher,0
1149,None,5
1150,None,5
1151,Bachelor or Higher,0
1152,Bachelor or Higher,0
1153,Bachelor or Higher,0
1154,Bachelor or Higher,0
1155,Bachelor or Higher,0
1156,Bachelor or Higher,0
1157,Bachelor or Higher,0
1158,Bachelor or Higher,0
1159,Bachelor or Higher,0
1160,Bachelor or Higher,0
1161,Bachelor or Higher,0
1162,Bachelor or Higher,0
1163,Bachelor or Higher,0
1164,Bachelor or Higher,0
1165,Bachelor or Higher,0
1166,Bachelor or Higher,0
1167,Bachelor or Higher,0
1168,Bachelor or Higher,0
1169,None,5
1170,None,5
1171,Bachelor or Higher,0
1172,Bachelor or Higher,0
1173,Bachelor or Higher,0
1174,Bachelor or Higher,0
1175,Bachelor or Higher,0
1176,Bachelor or Higher,0
1177,Bachelor or Higher,0
1178,Bachelor or Higher,0
1179,Bachelor or Higher,0
1180,Bachelor or Higher,0
1181,Bachelor or Higher,0
1182,Bachelor or Higher,0
1183,Bachelor or Higher,0
1184,Bachelor or Higher,0
1185,Bachelor or Higher,0
1186,Bachelor or Higher,0
1187,None,5
1188,Bachelor or Higher,0
1189,None,5
1190,Bachelor or Higher,0
1191,None,5
1192,Bachelor or Higher,0
1193,Bachelor or Higher,0
1194,Bachelor or Higher,0
1195,Bachelor or Higher,0
1196,Bachelor or Higher,0
1197,Bachelor or Higher,0
